timestamp,broad_income,prior_taxable_income,prior_rate,new_rate,response_number,raw_response,parsed_income,implied_eti
2024-11-05 14:27:48,50000,37500.0,0.25,0.15,1,"$42,500",42500.0,1.0000000000000002
2024-11-05 14:27:48,50000,37500.0,0.25,0.15,2,"$42,500",42500.0,1.0000000000000002
2024-11-05 14:27:48,50000,37500.0,0.25,0.15,3,"$42,500",42500.0,1.0000000000000002
2024-11-05 14:27:49,50000,37500.0,0.25,0.2,1,"$40,000",40000.0,0.9999999999999992
2024-11-05 14:27:49,50000,37500.0,0.25,0.2,2,"$40,000",40000.0,0.9999999999999992
2024-11-05 14:27:49,50000,37500.0,0.25,0.2,3,"$40,000",40000.0,0.9999999999999992
2024-11-05 14:27:49,50000,37500.0,0.25,0.25,1,"$37,500",37500.0,
2024-11-05 14:27:49,50000,37500.0,0.25,0.25,2,"$37,500",37500.0,
2024-11-05 14:27:49,50000,37500.0,0.25,0.25,3,"$37,500",37500.0,
2024-11-05 14:27:50,50000,37500.0,0.25,0.30000000000000004,1,"$35,000",35000.0,0.9999999999999992
2024-11-05 14:27:50,50000,37500.0,0.25,0.30000000000000004,2,"$35,000",35000.0,0.9999999999999992
2024-11-05 14:27:50,50000,37500.0,0.25,0.30000000000000004,3,"$35,000",35000.0,0.9999999999999992
2024-11-05 14:27:50,50000,37500.0,0.25,0.3500000000000001,1,"$30,000",30000.0,1.499999999999999
2024-11-05 14:27:50,50000,37500.0,0.25,0.3500000000000001,2,"$30,000",30000.0,1.499999999999999
2024-11-05 14:27:50,50000,37500.0,0.25,0.3500000000000001,3,"$32,500",32500.0,0.9999999999999992
2024-11-05 14:27:51,100000,75000.0,0.25,0.15,1,"$85,000",85000.0,1.0000000000000002
2024-11-05 14:27:51,100000,75000.0,0.25,0.15,2,"$85,000",85000.0,1.0000000000000002
2024-11-05 14:27:51,100000,75000.0,0.25,0.15,3,"$85,000",85000.0,1.0000000000000002
2024-11-05 14:27:52,100000,75000.0,0.25,0.2,1,"$80,000",80000.0,0.9999999999999992
2024-11-05 14:27:52,100000,75000.0,0.25,0.2,2,"$80,000",80000.0,0.9999999999999992
2024-11-05 14:27:52,100000,75000.0,0.25,0.2,3,"$80,000",80000.0,0.9999999999999992
2024-11-05 14:27:52,100000,75000.0,0.25,0.25,1,"$75,000.00",75000.0,
2024-11-05 14:27:52,100000,75000.0,0.25,0.25,2,"$75,000",75000.0,
2024-11-05 14:27:52,100000,75000.0,0.25,0.25,3,"$75,000",75000.0,
2024-11-05 14:27:52,100000,75000.0,0.25,0.30000000000000004,1,"$70,000",70000.0,0.9999999999999992
2024-11-05 14:27:52,100000,75000.0,0.25,0.30000000000000004,2,"$70,000",70000.0,0.9999999999999992
2024-11-05 14:27:52,100000,75000.0,0.25,0.30000000000000004,3,"$70,000",70000.0,0.9999999999999992
2024-11-05 14:27:53,100000,75000.0,0.25,0.3500000000000001,1,"$65,000",65000.0,0.9999999999999992
2024-11-05 14:27:53,100000,75000.0,0.25,0.3500000000000001,2,"$65,000",65000.0,0.9999999999999992
2024-11-05 14:27:53,100000,75000.0,0.25,0.3500000000000001,3,"$65,000",65000.0,0.9999999999999992
2024-11-05 14:27:53,150000,112500.0,0.25,0.15,1,"$112,500",112500.0,0.0
2024-11-05 14:27:53,150000,112500.0,0.25,0.15,2,"$137,500",137500.0,1.666666666666667
2024-11-05 14:27:53,150000,112500.0,0.25,0.15,3,"$112,500",112500.0,0.0
2024-11-05 14:27:53,150000,112500.0,0.25,0.2,1,"$120,000",120000.0,0.9999999999999992
2024-11-05 14:27:53,150000,112500.0,0.25,0.2,2,"$120,000",120000.0,0.9999999999999992
2024-11-05 14:27:53,150000,112500.0,0.25,0.2,3,"$120,000",120000.0,0.9999999999999992
2024-11-05 14:27:53,150000,112500.0,0.25,0.25,1,"$112,500",112500.0,
2024-11-05 14:27:53,150000,112500.0,0.25,0.25,2,"$112,500",112500.0,
2024-11-05 14:27:53,150000,112500.0,0.25,0.25,3,"$112,500",112500.0,
2024-11-05 14:27:54,150000,112500.0,0.25,0.30000000000000004,1,"$100,000",100000.0,1.6666666666666652
2024-11-05 14:27:54,150000,112500.0,0.25,0.30000000000000004,2,"$105,000",105000.0,0.9999999999999992
2024-11-05 14:27:54,150000,112500.0,0.25,0.30000000000000004,3,"$105,000",105000.0,0.9999999999999992
2024-11-05 14:27:54,150000,112500.0,0.25,0.3500000000000001,1,"$103,125",103125.0,0.6249999999999994
2024-11-05 14:27:54,150000,112500.0,0.25,0.3500000000000001,2,"$102,500",102500.0,0.6666666666666662
2024-11-05 14:27:54,150000,112500.0,0.25,0.3500000000000001,3,"$108,500",108500.0,0.26666666666666644
