timestamp,tax_unit_id,filing_status,broad_income,taxable_income,mtr,mtr_prime,response_number,taxable_income_this,broad_income_this,implied_eti_taxable,implied_eti_broad,model,income_response_raw
2026-08-07 10:58:34,2908001.0,,43861.0,37428.68,0.25230432,0.2429616519919546,1,37429.0,43861.0,0.000684225762420971,0.0,gpt-4o-mini,"{'broad_income': 43861, 'taxable_income': 37429}"
2026-08-07 10:58:34,2908001.0,,43861.0,37428.68,0.25230432,0.2429616519919546,2,37429.0,43861.0,0.000684225762420971,0.0,gpt-4o-mini,"{'broad_income': 43861, 'taxable_income': 37429}"
2026-08-07 11:00:36,8434401.0,,52133.0,49546.84,0.3695,0.3716756696001465,1,47000.0,50000.0,14.896280729947843,11.856876208353297,gpt-4o-mini,"{'broad_income': 50000, 'taxable_income': 47000}"
2026-08-07 11:00:36,8434401.0,,52133.0,49546.84,0.3695,0.3716756696001465,2,47000.0,50000.0,14.896280729947843,11.856876208353297,gpt-4o-mini,"{'broad_income': 50000, 'taxable_income': 47000}"
2026-08-07 11:02:30,6349901.0,,42000.0,28150.0,0.1965,0.1833836551052556,1,28000.0,42000.0,-0.3264268792443111,0.0,gpt-4o-mini,"{'broad_income': 42000, 'taxable_income': 28000}"
2026-08-07 11:02:30,6349901.0,,42000.0,28150.0,0.1965,0.1833836551052556,2,28000.0,42000.0,-0.3264268792443111,0.0,gpt-4o-mini,"{'broad_income': 42000, 'taxable_income': 28000}"
2026-08-07 11:04:30,4907201.0,,146001.0,127030.69,0.3615,0.3367198943787576,1,130000.0,146001.0,0.6022885851001598,0.0,gpt-4o-mini,"{'broad_income': 146001, 'taxable_income': 130000}"
2026-08-07 11:04:30,4907201.0,,146001.0,127030.69,0.3615,0.3367198943787576,2,130000.0,146001.0,0.6022885851001598,0.0,gpt-4o-mini,"{'broad_income': 146001, 'taxable_income': 130000}"
2026-08-07 11:06:29,1306201.0,,88011.0,75755.086,0.32719994,0.3311268909649999,1,75000.0,88011.0,1.7077141057547338,-0.0,gpt-4o-mini,"{'broad_income': 88011, 'taxable_income': 75000}"
2026-08-07 11:06:29,1306201.0,,88011.0,75755.086,0.32719994,0.3311268909649999,2,75000.0,88011.0,1.7077141057547338,-0.0,gpt-4o-mini,"{'broad_income': 88011, 'taxable_income': 75000}"
2026-08-07 11:08:24,1306201.0,,88011.0,75755.086,0.32719994,0.3311266164297525,1,75000.0,88011.0,1.7078335013104768,-0.0,gpt-4o-mini,"{'broad_income': 88011, 'taxable_income': 75000}"
2026-08-07 11:08:24,1306201.0,,88011.0,75755.086,0.32719994,0.3311266164297525,2,75000.0,88011.0,1.7078335013104768,-0.0,gpt-4o-mini,"{'broad_income': 88011, 'taxable_income': 75000}"
2026-08-07 11:10:11,729401.0,,70000.0,42300.0,-0.16099998,-0.2077535147399951,1,40000.0,70000.0,-1.3502221562083347,0.0,gpt-4o-mini,"{'broad_income': 70000, 'taxable_income': 40000}"
2026-08-07 11:10:11,729401.0,,70000.0,42300.0,-0.16099998,-0.2077535147399951,2,40000.0,70000.0,-1.3502221562083347,0.0,gpt-4o-mini,"{'broad_income': 70000, 'taxable_income': 40000}"
2026-08-07 11:11:54,7839302.0,,43500.0,29258.0,0.20230004,0.1868477468659006,1,30000.0,43500.0,1.3091997139505198,0.0,gpt-4o-mini,"{'broad_income': 43500, 'taxable_income': 30000}"
2026-08-07 11:11:54,7839302.0,,43500.0,29258.0,0.20230004,0.1868477468659006,2,30000.0,43500.0,1.3091997139505198,0.0,gpt-4o-mini,"{'broad_income': 43500, 'taxable_income': 30000}"
2026-08-07 11:13:37,4925401.0,,25642.0,3365.2578,0.30649996,0.3145918908659894,1,3365.0,25642.0,0.006565365372680926,-0.0,gpt-4o-mini,"{'broad_income': 25642, 'taxable_income': 3365}"
2026-08-07 11:13:37,4925401.0,,25642.0,3365.2578,0.30649996,0.3145918908659894,2,3365.0,25642.0,0.006565365372680926,-0.0,gpt-4o-mini,"{'broad_income': 25642, 'taxable_income': 3365}"
