Timestamp,Broad Income,Prior Taxable Income,Prior Marginal Rate,New Tax Rate,Average Expected Taxable Income,Implied ETI,Valid Responses
2024-11-05 14:04:45,50000,37500.0,0.25,0.15,42500.0,1.0000000000000002,10
2024-11-05 14:04:45,50000,37500.0,0.25,0.16999999999999998,41656.5,1.039124999999999,10
2024-11-05 14:04:45,50000,37500.0,0.25,0.18999999999999997,39710.7,0.7368999999999983,10
2024-11-05 14:04:46,50000,37500.0,0.25,0.20999999999999996,39042.3,0.7711500000000008,10
2024-11-05 14:04:47,50000,37500.0,0.25,0.22999999999999995,38689.9,1.1899000000000004,10
2024-11-05 14:04:47,50000,37500.0,0.25,0.24999999999999994,37500.0,,10
2024-11-05 14:04:48,50000,37500.0,0.25,0.2699999999999999,35027.5,2.4725000000000112,10
2024-11-05 14:04:48,50000,37500.0,0.25,0.2899999999999999,35730.0,0.8850000000000017,10
2024-11-05 14:04:48,50000,37500.0,0.25,0.30999999999999994,33125.0,1.4583333333333348,10
2024-11-05 14:04:49,50000,37500.0,0.25,0.3299999999999999,29250.0,2.062500000000004,10
2024-11-05 14:04:50,50000,37500.0,0.25,0.34999999999999987,30000.0,1.500000000000002,10
2024-11-05 14:04:50,60000,45000.0,0.25,0.15,51025.0,1.0041666666666669,10
2024-11-05 14:04:51,60000,45000.0,0.25,0.16999999999999998,50200.0,1.0833333333333324,10
2024-11-05 14:04:51,60000,45000.0,0.25,0.18999999999999997,48672.6,1.0201666666666653,10
2024-11-05 14:04:52,60000,45000.0,0.25,0.20999999999999996,48288.1,1.3700416666666648,10
2024-11-05 14:04:52,60000,45000.0,0.25,0.22999999999999995,46834.7,1.5289166666666631,10
2024-11-05 14:04:52,60000,45000.0,0.25,0.24999999999999994,45000.0,,10
2024-11-05 14:04:53,60000,45000.0,0.25,0.2699999999999999,42650.0,1.9583333333333426,10
2024-11-05 14:04:53,60000,45000.0,0.25,0.2899999999999999,42150.0,1.1875000000000024,10
2024-11-05 14:04:54,60000,45000.0,0.25,0.30999999999999994,40150.0,1.3472222222222237,10
2024-11-05 14:04:54,60000,45000.0,0.25,0.3299999999999999,37325.0,1.5989583333333361,10
2024-11-05 14:04:54,60000,45000.0,0.25,0.34999999999999987,38850.0,1.0250000000000012,10
2024-11-05 14:04:55,70000,52500.0,0.25,0.15,58733.2,0.8904571428571427,10
2024-11-05 14:04:55,70000,52500.0,0.25,0.16999999999999998,57814.6,0.9490357142857132,10
2024-11-05 14:04:56,70000,52500.0,0.25,0.18999999999999997,56749.7,1.0118333333333318,10
2024-11-05 14:04:56,70000,52500.0,0.25,0.20999999999999996,55750.0,1.1607142857142847,10
2024-11-05 14:04:56,70000,52500.0,0.25,0.22999999999999995,54533.3,1.4523571428571438,10
2024-11-05 14:04:57,70000,52500.0,0.25,0.24999999999999994,52500.0,,10
2024-11-05 14:04:58,70000,52500.0,0.25,0.2699999999999999,50092.5,1.7196428571428652,10
2024-11-05 14:04:58,70000,52500.0,0.25,0.2899999999999999,49300.0,1.142857142857145,10
2024-11-05 14:04:58,70000,52500.0,0.25,0.30999999999999994,47924.1,1.0895000000000015,10
2024-11-05 14:04:59,70000,52500.0,0.25,0.3299999999999999,42687.5,1.7522321428571461,10
2024-11-05 14:04:59,70000,52500.0,0.25,0.34999999999999987,45650.0,0.9785714285714298,10
2024-11-05 14:05:00,80000,60000.0,0.25,0.15,67900.0,0.9875000000000002,10
2024-11-05 14:05:00,80000,60000.0,0.25,0.16999999999999998,64793.9,0.7490468749999997,10
2024-11-05 14:05:00,80000,60000.0,0.25,0.18999999999999997,66331.1,1.3189791666666668,10
2024-11-05 14:05:01,80000,60000.0,0.25,0.20999999999999996,66533.5,2.041718749999998,10
2024-11-05 14:05:01,80000,60000.0,0.25,0.22999999999999995,63765.1,2.3531874999999967,10
2024-11-05 14:05:02,80000,60000.0,0.25,0.24999999999999994,60000.0,,10
2024-11-05 14:05:02,80000,60000.0,0.25,0.2699999999999999,56800.0,2.0000000000000093,10
2024-11-05 14:05:03,80000,60000.0,0.25,0.2899999999999999,55220.7,1.4935312500000038,10
2024-11-05 14:05:03,80000,60000.0,0.25,0.30999999999999994,54295.0,1.188541666666668,10
2024-11-05 14:05:04,80000,60000.0,0.25,0.3299999999999999,48550.0,1.7890625000000033,10
2024-11-05 14:05:04,80000,60000.0,0.25,0.34999999999999987,51015.4,1.1230750000000012,10
2024-11-05 14:05:04,90000,67500.0,0.25,0.15,76050.0,0.9500000000000003,10
2024-11-05 14:05:05,90000,67500.0,0.25,0.16999999999999998,79755.6,1.702166666666666,10
2024-11-05 14:05:05,90000,67500.0,0.25,0.18999999999999997,72642.4,0.9522962962962943,10
2024-11-05 14:05:06,90000,67500.0,0.25,0.20999999999999996,73084.9,1.5513611111111083,10
2024-11-05 14:05:06,90000,67500.0,0.25,0.22999999999999995,69850.0,1.3055555555555545,10
2024-11-05 14:05:07,90000,67500.0,0.25,0.24999999999999994,67500.0,,10
2024-11-05 14:05:07,90000,67500.0,0.25,0.2699999999999999,64487.5,1.673611111111119,10
2024-11-05 14:05:08,90000,67500.0,0.25,0.2899999999999999,64122.4,0.9382222222222236,10
2024-11-05 14:05:08,90000,67500.0,0.25,0.30999999999999994,61783.4,1.0586296296296305,10
2024-11-05 14:05:09,90000,67500.0,0.25,0.3299999999999999,66900.0,0.0833333333333335,10
2024-11-05 14:05:09,90000,67500.0,0.25,0.34999999999999987,59558.3,0.8824111111111119,10
2024-11-05 14:05:09,100000,75000.0,0.25,0.15,85000.0,1.0000000000000002,10
2024-11-05 14:05:10,100000,75000.0,0.25,0.16999999999999998,83597.7,1.0747124999999986,10
2024-11-05 14:05:10,100000,75000.0,0.25,0.18999999999999997,79876.2,0.8126999999999988,10
2024-11-05 14:05:11,100000,75000.0,0.25,0.20999999999999996,79077.9,1.0194749999999977,10
2024-11-05 14:05:11,100000,75000.0,0.25,0.22999999999999995,77576.1,1.288050000000002,10
2024-11-05 14:05:12,100000,75000.0,0.25,0.24999999999999994,75000.0,,10
2024-11-05 14:05:12,100000,75000.0,0.25,0.2699999999999999,72300.0,1.350000000000006,10
2024-11-05 14:05:12,100000,75000.0,0.25,0.2899999999999999,69640.2,1.3399500000000033,10
2024-11-05 14:05:13,100000,75000.0,0.25,0.30999999999999994,66054.4,1.4909333333333359,10
2024-11-05 14:05:13,100000,75000.0,0.25,0.3299999999999999,61616.7,1.6729125000000036,10
2024-11-05 14:05:14,100000,75000.0,0.25,0.34999999999999987,63500.0,1.1500000000000015,10
2024-11-05 14:05:14,110000,82500.0,0.25,0.15,86583.4,0.3712181818181814,10
2024-11-05 14:05:14,110000,82500.0,0.25,0.16999999999999998,90945.4,0.959704545454544,10
2024-11-05 14:05:15,110000,82500.0,0.25,0.18999999999999997,86994.1,0.6809242424242427,10
2024-11-05 14:05:15,110000,82500.0,0.25,0.20999999999999996,86531.3,0.9162045454545454,10
2024-11-05 14:05:16,110000,82500.0,0.25,0.22999999999999995,84877.4,1.08063636363636,10
2024-11-05 14:05:16,110000,82500.0,0.25,0.24999999999999994,82500.0,,10
2024-11-05 14:05:16,110000,82500.0,0.25,0.2699999999999999,80562.5,0.8806818181818222,10
2024-11-05 14:05:16,110000,82500.0,0.25,0.2899999999999999,76875.0,1.2784090909090933,10
2024-11-05 14:05:17,110000,82500.0,0.25,0.30999999999999994,73954.7,1.294742424242426,10
